 ,location,date,new_cases
0,China,22/01/2020,
1,China,23/01/2020,92
2,China,24/01/2020,277
3,China,25/01/2020,483
4,China,26/01/2020,663
5,China,27/01/2020,801
6,China,28/01/2020,2631
7,China,29/01/2020,576
8,China,30/01/2020,2054
9,China,31/01/2020,1659
10,China,01/02/2020,2088
11,China,02/02/2020,4736
12,China,03/02/2020,3086
13,China,04/02/2020,3987
14,China,05/02/2020,3729
15,China,06/02/2020,3144
16,China,07/02/2020,3522
17,China,08/02/2020,2703
18,China,09/02/2020,3012
19,China,10/02/2020,2516
20,China,11/02/2020,2021
21,China,12/02/2020,372
22,China,13/02/2020,15133
23,China,14/02/2020,6460
24,China,15/02/2020,2055
25,China,16/02/2020,2099
26,China,17/02/2020,1918
27,China,18/02/2020,1775
28,China,19/02/2020,407
29,China,20/02/2020,453
30,China,21/02/2020,473
31,China,22/02/2020,1450
32,China,23/02/2020,16
33,China,24/02/2020,214
34,China,25/02/2020,508
35,China,26/02/2020,405
36,China,27/02/2020,433
37,China,28/02/2020,326
38,China,29/02/2020,427
39,China,01/03/2020,575
40,China,02/03/2020,200
41,China,03/03/2020,125
42,China,04/03/2020,120
43,China,05/03/2020,151
44,China,06/03/2020,151
45,China,07/03/2020,79
46,China,08/03/2020,47
47,China,09/03/2020,36
48,China,10/03/2020,22
49,China,11/03/2020,28
50,China,12/03/2020,8
51,China,13/03/2020,8
52,China,14/03/2020,26
53,China,15/03/2020,21
54,China,16/03/2020,19
55,China,17/03/2020,17
56,China,18/03/2020,22
57,China,19/03/2020,25
58,China,20/03/2020,46
59,China,21/03/2020,37
60,China,22/03/2020,80
61,China,23/03/2020,24
62,China,24/03/2020,62
63,China,25/03/2020,41
64,China,26/03/2020,77
65,China,27/03/2020,47
66,China,28/03/2020,56
67,China,29/03/2020,43
68,China,30/03/2020,34
69,China,31/03/2020,1587
70,China,01/04/2020,159
71,China,02/04/2020,80
72,China,03/04/2020,87
73,China,04/04/2020,76
74,China,05/04/2020,74
75,China,06/04/2020,112
76,China,07/04/2020,60
77,China,08/04/2020,191
78,China,09/04/2020,102
79,China,10/04/2020,75
80,China,11/04/2020,82
81,China,12/04/2020,165
82,China,13/04/2020,107
83,China,14/04/2020,77
84,China,15/04/2020,95
85,China,16/04/2020,105
86,China,17/04/2020,409
87,China,18/04/2020,69
88,China,19/04/2020,61
89,China,20/04/2020,61
90,China,21/04/2020,66
91,China,22/04/2020,52
92,China,23/04/2020,38
93,China,24/04/2020,46
94,China,25/04/2020,36
95,China,26/04/2020,29
96,China,27/04/2020,31
97,China,28/04/2020,62
98,China,29/04/2020,29
99,China,30/04/2020,45
100,China,01/05/2020,20
101,China,02/05/2020,8
102,China,03/05/2020,
103,China,04/05/2020,
104,China,05/05/2020,17
105,China,06/05/2020,22
106,China,07/05/2020,7
107,China,08/05/2020,17
108,China,09/05/2020,29
109,China,10/05/2020,36
