date,new_cases
22/01/2020,
23/01/2020,92
24/01/2020,277
25/01/2020,483
26/01/2020,663
27/01/2020,801
28/01/2020,2631
29/01/2020,576
30/01/2020,2054
31/01/2020,1659
01/02/2020,2088
02/02/2020,4736
03/02/2020,3086
04/02/2020,3987
05/02/2020,3729
06/02/2020,3144
07/02/2020,3522
08/02/2020,2703
09/02/2020,3012
10/02/2020,2516
11/02/2020,2021
12/02/2020,372
13/02/2020,15133
14/02/2020,6460
15/02/2020,2055
16/02/2020,2099
17/02/2020,1918
18/02/2020,1775
19/02/2020,407
20/02/2020,453
21/02/2020,473
22/02/2020,1450
23/02/2020,16
24/02/2020,214
25/02/2020,508
26/02/2020,405
27/02/2020,433
28/02/2020,326
29/02/2020,427
01/03/2020,575
02/03/2020,200
03/03/2020,125
04/03/2020,120
05/03/2020,151
06/03/2020,151
07/03/2020,79
08/03/2020,47
09/03/2020,36
10/03/2020,22
11/03/2020,28
12/03/2020,8
13/03/2020,8
14/03/2020,26
15/03/2020,21
16/03/2020,19
17/03/2020,17
18/03/2020,22
19/03/2020,25
20/03/2020,46
21/03/2020,37
22/03/2020,80
23/03/2020,24
24/03/2020,62
25/03/2020,41
26/03/2020,77
27/03/2020,47
28/03/2020,56
29/03/2020,43
30/03/2020,34
31/03/2020,1587
