LOCATION,hours worked,Value
AUS,1722.313342,102.055734
AUT,1508.643477,101.549358
BEL,1577,100.914212
CAN,1690,102.848075
CZE,1786.033445,107.318049
DNK,1371.498811,106.133113
FIN,1538.371186,103.612412
FRA,1518.157256,103.215736
DEU,1381.5,104.162791
GRC,1916.660051,95.695779
HUN,1722.2,109.175273
ISL,1480.148221,108.350518
IRL,1771,108.83146
ITA,1710.2,100.82174
JPN,1643.81852,102.659468
KOR,1967,114.112628
LUX,1507,98.039568
MEX,2138.889734,99.09816
NLD,1438.520121,99.395132
NZL,1783,100.658257
NOR,1418.6,101.245155
POL,1782.625219,119.703575
PRT,1743.930319,102.31032
SVK,1691.986308,107.576441
ESP,1682.936419,101.664137
SWE,1453.423602,102.934086
CHE,1549.434679,105.533024
TUR,1732.087617,114.002844
GBR,1537.043278,102.375673
USA,1777.241,103.581713
CHL,1929.5,116.155203
EST,1694.396177,108.967004
RUS,1965,108.312295
SVN,1601.835103,111.126412
LVA,1631.036487,113.869735
LTU,1665.381726,112.893562
CRI,2059.6,111.826768
BGR,1645.247395,110.263892
COL,2272.192928,107.793852
HRV,1837.765528,104.361121
