LOCATION,TIME,Value
FRA,1983,8.758333
FRA,1984,10.05
FRA,1985,10.38333
FRA,1986,10.55
FRA,1987,10.65
FRA,1988,10.06667
FRA,1989,9.675
FRA,1990,9.366667
FRA,1991,9.625
FRA,1992,10.64167
FRA,1993,11.825
FRA,1994,12.275
FRA,1995,11.95
FRA,1996,12.4
FRA,1997,12.33333
FRA,1998,12.05
FRA,1999,11.31667
FRA,2000,9.558333
FRA,2001,8.741667
FRA,2002,8.633333
FRA,2003,8.508333
FRA,2004,8.9
FRA,2005,8.883333
FRA,2006,8.85
FRA,2007,8.016666
FRA,2008,7.433333
FRA,2009,9.116667
FRA,2010,9.275
FRA,2011,9.216666
FRA,2012,9.758333
FRA,2013,10.3
FRA,2014,10.275
FRA,2015,10.35
FRA,2016,10.06667
FRA,2017,9.425
FRA,2018,9.025
FRA,2019,8.433333
FRA,2020,8.033334
DEU,1991,5.525
DEU,1992,6.566667
DEU,1993,7.791667
DEU,1994,8.45
DEU,1995,8.25
DEU,1996,8.941667
DEU,1997,9.675
DEU,1998,9.45
DEU,1999,8.625
DEU,2000,8.008333
DEU,2001,7.858333
DEU,2002,8.683333
DEU,2003,9.808333
DEU,2004,10.5
DEU,2005,11.28333
DEU,2006,10.275
DEU,2007,8.541667
DEU,2008,7.425
DEU,2009,7.225
DEU,2010,6.575
DEU,2011,5.516667
DEU,2012,5.083333
DEU,2013,4.95
DEU,2014,4.708333
DEU,2015,4.366667
DEU,2016,3.908333
DEU,2017,3.566667
DEU,2018,3.208333
DEU,2019,2.975
DEU,2020,3.625
JPN,1955,2.508333
JPN,1956,2.291667
JPN,1957,1.925
JPN,1958,2.041667
JPN,1959,2.225
JPN,1960,1.625
JPN,1961,1.433333
JPN,1962,1.283333
JPN,1963,1.283333
JPN,1964,1.175
JPN,1965,1.216667
JPN,1966,1.308333
JPN,1967,1.258333
JPN,1968,1.183333
JPN,1969,1.125
JPN,1970,1.15
JPN,1971,1.225
JPN,1972,1.416667
JPN,1973,1.266667
JPN,1974,1.375
JPN,1975,1.891667
JPN,1976,2.008333
JPN,1977,2.025
JPN,1978,2.241667
JPN,1979,2.083333
JPN,1980,2.008333
JPN,1981,2.208333
JPN,1982,2.35
JPN,1983,2.658333
JPN,1984,2.708333
JPN,1985,2.616667
JPN,1986,2.758333
JPN,1987,2.85
JPN,1988,2.533333
JPN,1989,2.266667
JPN,1990,2.108333
JPN,1991,2.1
JPN,1992,2.15
JPN,1993,2.5
JPN,1994,2.891667
JPN,1995,3.15
JPN,1996,3.35
JPN,1997,3.4
JPN,1998,4.108333
JPN,1999,4.683333
JPN,2000,4.716667
JPN,2001,5.033333
JPN,2002,5.375
JPN,2003,5.258333
JPN,2004,4.716667
JPN,2005,4.425
JPN,2006,4.141667
JPN,2007,3.841667
JPN,2008,3.991667
JPN,2009,5.066667
JPN,2010,5.05
JPN,2011,4.583333
JPN,2012,4.35
JPN,2013,4.025
JPN,2014,3.591667
JPN,2015,3.375
JPN,2016,3.116667
JPN,2017,2.808333
JPN,2018,2.441667
JPN,2019,2.35
JPN,2020,2.775
GBR,1983,10.775
GBR,1984,10.85
GBR,1985,11.175
GBR,1986,11.2
GBR,1987,10.275
GBR,1988,8.45
GBR,1989,7.075
GBR,1990,6.825
GBR,1991,8.6
GBR,1992,9.85
GBR,1993,10.4
GBR,1994,9.525
GBR,1995,8.65
GBR,1996,8.125
GBR,1997,7
GBR,1998,6.275
GBR,1999,5.975
GBR,2000,5.45
GBR,2001,5.075
GBR,2002,5.175
GBR,2003,5.025
GBR,2004,4.75
GBR,2005,4.8
GBR,2006,5.425
GBR,2007,5.325
GBR,2008,5.7
GBR,2009,7.625
GBR,2010,7.875
GBR,2011,8.125
GBR,2012,7.975
GBR,2013,7.6
GBR,2014,6.175
GBR,2015,5.35
GBR,2016,4.9
GBR,2017,4.425
GBR,2018,4.1
GBR,2019,3.825
GBR,2020,4.575
USA,1955,4.383333
USA,1956,4.141667
USA,1957,4.258333
USA,1958,6.8
USA,1959,5.475
USA,1960,5.508333
USA,1961,6.683333
USA,1962,5.541667
USA,1963,5.666667
USA,1964,5.191667
USA,1965,4.525
USA,1966,3.783333
USA,1967,3.841667
USA,1968,3.583333
USA,1969,3.508333
USA,1970,4.933333
USA,1971,5.958333
USA,1972,5.616667
USA,1973,4.891667
USA,1974,5.591667
USA,1975,8.466666
USA,1976,7.716667
USA,1977,7.066667
USA,1978,6.066667
USA,1979,5.833333
USA,1980,7.141667
USA,1981,7.6
USA,1982,9.708333
USA,1983,9.616667
USA,1984,7.525
USA,1985,7.191667
USA,1986,6.991667
USA,1987,6.191667
USA,1988,5.491667
USA,1989,5.266667
USA,1990,5.616667
USA,1991,6.816667
USA,1992,7.508333
USA,1993,6.9
USA,1994,6.083333
USA,1995,5.608333
USA,1996,5.416667
USA,1997,4.95
USA,1998,4.508333
USA,1999,4.216667
USA,2000,3.991667
USA,2001,4.733333
USA,2002,5.775
USA,2003,5.991667
USA,2004,5.533333
USA,2005,5.066667
USA,2006,4.616667
USA,2007,4.616667
USA,2008,5.775
USA,2009,9.266666
USA,2010,9.616667
USA,2011,8.95
USA,2012,8.066667
USA,2013,7.375
USA,2014,6.166667
USA,2015,5.291667
USA,2016,4.866667
USA,2017,4.35
USA,2018,3.9
USA,2019,3.666667
USA,2020,8.091666
