YEAR,GDP grow,CCI,CCI base 0 ,outstanding credit,outstanding credit as a percetage above GDP,ln_credit,percentage_change_ln_credit
1974,-0.205456065,97.2959,-2.7041,113.7818091,13.7818091,2.623349541,-0.325317536
1975,5.388139287,97.9357,-2.0643,113.6646926,13.66469262,2.614815325,0.905925609
1976,4.624153065,97.37321,-2.62679,113.99225,13.99225003,2.638503607,-1.010713194
1977,5.535304958,105.1288,5.1288,113.6240403,13.62404032,2.611835903,0.270392152
1978,3.166145308,101.1704,1.1704,113.7205966,13.72059656,2.618898102,1.033357515
1979,-0.256749674,98.92647,-1.07353,114.0969813,14.09698131,2.645960683,5.819116149
1980,2.537719307,96.85318,-3.14682,116.443532,16.44353199,2.799932208,-12.77607195
1981,-1.802887409,96.98864,-3.01136,111.498434,11.49843403,2.442210854,18.43624847
1982,4.583913355,101.4102,1.4102,118.0376802,18.03768022,2.892462916,8.381777368
1983,7.23663315,103.2086,3.2086,122.9863996,22.98639956,3.134902718,1.633467347
1984,4.169656223,100.5554,0.5554,124.194137,24.19413697,3.18611033,10.94312008
1985,3.462645971,99.8755,-0.1245,134.2871349,34.28713495,3.534770209,6.708986027
1986,3.45925199,100.7055,0.7055,143.4633237,43.46332369,3.771917449,1.273911407
1987,4.177061291,101.8911,1.8911,145.6027643,45.60276431,3.819968336,-0.616637779
1988,3.67264815,99.99776,-0.00224,144.5411271,44.54112713,3.796412968,1.844528791
1989,1.885964957,98.00871,-1.99129,147.771962,47.77196197,3.866438898,-1.191421427
1990,-0.108264791,98.37321,-1.62679,145.6212363,45.62123629,3.820373316,3.855530661
1991,3.522440527,100.191,0.191,152.8611667,52.86116672,3.967668981,0.665889577
1992,2.751781051,97.74451,-2.25549,154.2763873,54.27638725,3.994089275,1.831304914
1993,4.02879326,98.58424,-1.41576,158.3951728,58.39517276,4.067233228,-0.881404273
1994,2.684217272,98.85081,-1.14919,156.3388562,56.33885622,4.031384461,4.014680265
1995,3.772565499,101.0263,1.0263,166.2364991,66.23649911,4.193231657,1.8519792
1996,4.447174945,102.0997,2.0997,171.5852778,71.58527778,4.270889435,2.622458273
1997,4.481394432,102.7143,2.7143,180.0692375,80.06923745,4.382891729,2.798466165
1998,4.794499045,101.454,1.454,190.5177053,90.51770534,4.505545471,2.62440937
1999,4.077159479,103.0906,3.0906,201.8793661,101.8793661,4.623789428,-2.302007819
2000,0.954338729,102.7053,2.7053,191.592504,91.59250397,4.517349434,1.801332512
2001,1.695942923,102.4482,2.4482,199.3572478,99.35724775,4.598721918,-1.518730122
2002,2.796209101,102.0039,2.0039,192.6547058,92.65470584,4.528879743,3.297186141
2003,3.852552601,101.1709,1.1709,207.5768352,107.5768352,4.678205338,1.228805714
2004,3.48322032,101.342,1.342,213.9422103,113.9422103,4.735691393,0.604407731
2005,2.782810626,100.7913,0.7913,217.2506883,117.2506883,4.764314278,1.676530597
2006,2.010507552,100.7616,0.7616,227.000302,127.000302,4.844189464,1.408064478
2007,0.122188443,100.5693,0.5693,235.9651734,135.9651734,4.912398775,-3.626249747
2008,-2.599888351,95.59509,-4.40491,213.779564,113.779564,4.734262927,1.487638263
2009,2.708856694,100.1761,0.1761,222.0818393,122.0818393,4.804691634,-0.70330321
2010,1.54989495,97.61536,-2.38464,218.0254269,118.0254269,4.770900083,0.222729396
2011,2.280687603,96.0545,-3.9455,219.2862755,119.2862755,4.78152628,0.354897929
2012,1.841875395,97.15587,-2.84413,221.3277811,121.3277811,4.798495818,1.445768143
2013,2.287775933,100.073,0.073,230.0437513,130.0437513,4.867870942,0.430180809
2014,2.706369582,101.6129,1.6129,232.7956644,132.7956644,4.888811589,-0.879064362
2015,1.667472076,102.6015,2.6015,227.2095578,127.2095578,4.845835788,0.817324139
2016,2.255680481,101.1054,1.1054,232.3489472,132.3489472,4.885441974,1.452589151
2017,2.918856897,100.4983,0.4983,242.0824288,142.0824288,4.956407374,-1.895916511
2018,2.288869868,100.0319,0.0319,229.3391505,129.3391505,4.862438028,2.076536148
2019,-3.404589652,100.6494,0.6494,243.0806291,143.0806291,4.963408312,-100
