Rank,Country,GDP per hour worked,Employed Population,GDP (USD),Average work week (hrs)
1,Luxembourg,93.40,405600.00,57.00,29
2,Ireland,87.30,1989400.00,302.00,33.5
3,Norway,81.30,2753000.00,318.00,27.3
4,Belgium,69.70,4601200.00,498.00,29.8
5,United States,68.30,151000000.00,18037.00,33.6
6,Denmark,67.60,2829000.00,270.00,27.2
7,France,65.60,27523000.00,2648.00,28.2
8,Germany,65.50,43057000.00,3857.00,26.3
9,Netherlands,65.40,8792000.00,818.00,27.4
10,Switzerland,64.20,4962600.00,506.00,30.6
11,Austria,60.20,4290700.00,415.00,30.9
12,Sweden,59.10,4809700.00,458.00,31
13,Finland,54.80,2497400.00,225.00,31.6
14,Australia,54.60,11860000.00,1101.00,32.7
15,United Kingdom,52.10,31293000.00,2701.00,31.9
16,Italy,51.90,24476100.00,2191.00,33.1
17,Spain,51.00,18490800.00,1594.00,32.5
18,Canada,50.90,18285700.00,1589.00,32.8
19,Iceland,45.10,183700.00,16.00,36.1
20,Japan,41.90,65801200.00,4741.00,33.1
21,New Zealand,40.90,2360600.00,170.00,33.8
22,Slovenia,40.40,941500.00,64.00,32.5
23,Israel,40.30,3947100.00,300.00,36.3
24,Slovak Republic,39.70,2267100.00,158.00,33.7
25,Czech Republic,38.00,5179700.00,346.00,33.8
26,Portugal,35.40,4575800.00,303.00,35.9
27,Greece,35.30,4019800.00,288.00,39.1
28,Hungary,33.50,4327500.00,254.00,33.6
29,Lithuania,32.60,1334700.00,81.00,35.8
30,Korea,31.90,25936300.00,1749.00,40.7
31,Estonia,31.60,622900.00,36.00,35.6
32,Latvia,28.30,887900.00,48.00,36.7
33,Chile,25.90,7802200.00,402.00,38.2
34,Russia,25.10,72187700.00,3580.00,38
35,Mexico,20.30,50262900.00,2188.00,41.2
