areaCode,areaName,areaType,date,transmissionRateGrowthRateMax,,date2
K02000001,United Kingdom,overview,26.03.2021,-2,,3.2021
K02000001,United Kingdom,overview,19.03.2021,-3,,3.2021
K02000001,United Kingdom,overview,12.03.2021,-4,,3.2021
K02000001,United Kingdom,overview,05.03.2021,-3,,3.2021
K02000001,United Kingdom,overview,26.02.2021,-2,,2.2021
K02000001,United Kingdom,overview,19.02.2021,-3,,2.2021
K02000001,United Kingdom,overview,12.02.2021,-2,,2.2021
K02000001,United Kingdom,overview,05.02.2021,-2,,2.2021
K02000001,United Kingdom,overview,29.01.2021,0,,1.2021
K02000001,United Kingdom,overview,22.01.2021,-1,,1.2021
K02000001,United Kingdom,overview,15.01.2021,5,,1.2021
K02000001,United Kingdom,overview,08.01.2021,6,,1.2021
K02000001,United Kingdom,overview,23.12.2020,6,,2.2020
K02000001,United Kingdom,overview,18.12.2020,4,,2.2020
K02000001,United Kingdom,overview,11.12.2020,0,,2.2020
K02000001,United Kingdom,overview,04.12.2020,-1,,2.2020
K02000001,United Kingdom,overview,27.11.2020,0,,1.2020
K02000001,United Kingdom,overview,20.11.2020,2,,1.2020
K02000001,United Kingdom,overview,13.11.2020,3,,1.2020
K02000001,United Kingdom,overview,06.11.2020,4,,1.2020
K02000001,United Kingdom,overview,30.10.2020,4,,0.2020
K02000001,United Kingdom,overview,23.10.2020,6,,0.2020
K02000001,United Kingdom,overview,16.10.2020,7,,0.2020
K02000001,United Kingdom,overview,09.10.2020,9,,0.2020
K02000001,United Kingdom,overview,02.10.2020,9,,0.2020
K02000001,United Kingdom,overview,25.09.2020,8,,9.2020
K02000001,United Kingdom,overview,18.09.2020,7,,9.2020
K02000001,United Kingdom,overview,11.09.2020,3,,9.2020
K02000001,United Kingdom,overview,04.09.2020,2,,9.2020
K02000001,United Kingdom,overview,28.08.2020,1,,8.2020
K02000001,United Kingdom,overview,21.08.2020,1,,8.2020
K02000001,United Kingdom,overview,14.08.2020,-1,,8.2020
K02000001,United Kingdom,overview,07.08.2020,0,,8.2020
K02000001,United Kingdom,overview,31.07.2020,-1,,7.2020
K02000001,United Kingdom,overview,24.07.2020,-1,,7.2020
K02000001,United Kingdom,overview,17.07.2020,-1,,7.2020
K02000001,United Kingdom,overview,10.07.2020,-2,,7.2020
K02000001,United Kingdom,overview,03.07.2020,0,,7.2020
K02000001,United Kingdom,overview,25.06.2020,-2,,6.2020
K02000001,United Kingdom,overview,19.06.2020,-2,,6.2020
K02000001,United Kingdom,overview,12.06.2020,-4,,6.2020
