Location,TIME,GDP/hourworked,Hours worked/week
AUS,1990,36,1853
AUS,1991,37,1854.038119
AUS,1992,38,1845.604338
AUS,1993,38,1855.744186
AUS,1994,38,1874.227026
AUS,1995,39,1870.30788
AUS,1996,40,1861.516811
AUS,1997,42,1860.848429
AUS,1998,43,1849.881923
AUS,1999,43,1856.07992
AUS,2000,44,1852.162213
AUS,2001,45,1828.68535
AUS,2002,46,1817.956144
AUS,2003,47,1806.503441
AUS,2004,47,1811.396048
AUS,2005,47,1807.90422
AUS,2006,47,1802.431106
AUS,2007,48,1803.098565
AUS,2008,50,1799.052901
AUS,2009,49,1766.654267
AUS,2010,50,1777.570638
AUS,2011,50,1773.89512
AUS,2012,52,1770.775049
AUS,2013,53,1766.009185
AUS,2014,53,1755.132749
AUS,2015,54,1751.305373
AUS,2016,54,1738.7154
AUS,2017,55,1738.494254
AUS,2018,55,1732.538743
AUS,2019,55,1722.313342
AUS,2020,56,1683.111932
AUT,1995,51,1653
AUT,1996,51,1683
AUT,1997,52,1691
AUT,1998,54,1671
AUT,1999,55,1675
AUT,2000,56,1675
AUT,2001,57,1663
AUT,2002,58,1661
AUT,2003,58,1652
AUT,2004,59,1655
AUT,2005,61,1632
AUT,2006,62,1617
AUT,2007,64,1606
AUT,2008,64,1599
AUT,2009,63,1558
AUT,2010,64,1552
AUT,2011,65,1557
AUT,2012,66,1535
AUT,2013,66,1520
AUT,2014,66,1510
AUT,2015,67,1495
AUT,2016,67,1507
AUT,2017,68,1498
AUT,2018,68,1502
AUT,2019,68,1508.643477
AUT,2020,70,1400.693582
CAN,1990,37,1797
CAN,1991,38,1775
CAN,1992,38,1772
CAN,1993,39,1769
CAN,1994,40,1778
CAN,1995,40,1775
CAN,1996,40,1790
CAN,1997,41,1798
CAN,1998,42,1794
CAN,1999,43,1793
CAN,2000,44,1787
CAN,2001,45,1774
CAN,2002,46,1755
CAN,2003,46,1745
CAN,2004,46,1755
CAN,2005,47,1745
CAN,2006,48,1744
CAN,2007,48,1744
CAN,2008,48,1741
CAN,2009,48,1712
CAN,2010,48,1715
CAN,2011,49,1713
CAN,2012,49,1722
CAN,2013,50,1716
CAN,2014,51,1710
CAN,2015,51,1712
CAN,2016,52,1706
CAN,2017,52,1695
CAN,2018,52,1708
CAN,2019,53,1690
CAN,2020,57,1644
CZE,1993,22,1857
CZE,1994,22,1839
CZE,1995,24,1831.673536
CZE,1996,24,1829.378306
CZE,1997,24,1837.918675
CZE,1998,24,1860.876878
CZE,1999,25,1890.601102
CZE,2000,26,1900.259727
CZE,2001,28,1823.32334
CZE,2002,28,1812.215001
CZE,2003,30,1799.047882
CZE,2004,31,1813.655779
CZE,2005,33,1802.926072
CZE,2006,35,1789.228934
CZE,2007,36,1775.017312
CZE,2008,36,1789.614454
CZE,2009,35,1778.801002
CZE,2010,36,1799.099746
CZE,2011,37,1805.47337
CZE,2012,37,1776.448316
CZE,2013,37,1764.302008
CZE,2014,37,1773.81181
CZE,2015,39,1751.474214
CZE,2016,39,1774.046355
CZE,2017,41,1776.447703
CZE,2018,41,1784.666363
CZE,2019,42,1786.033445
CZE,2020,43,1703.596535
FIN,1990,38,1671
FIN,1991,38,1652
FIN,1992,39,1652
FIN,1993,41,1651
FIN,1994,43,1671
FIN,1995,44,1677
FIN,1996,45,1675
FIN,1997,46,1671
FIN,1998,48,1661
FIN,1999,49,1661
FIN,2000,51,1650
FIN,2001,52,1636
FIN,2002,53,1628
FIN,2003,54,1623
FIN,2004,56,1624
FIN,2005,57,1613
FIN,2006,58,1608
FIN,2007,60,1605
FIN,2008,59,1601
FIN,2009,57,1580
FIN,2010,59,1585
FIN,2011,59,1578
FIN,2012,59,1568
FIN,2013,59,1560
FIN,2014,59,1558
FIN,2015,59,1555
FIN,2016,61,1555
FIN,2017,62,1548.879611
FIN,2018,62,1546.373238
FIN,2019,61,1538.371186
FIN,2020,62,1528.789942
FRA,1990,48,1645
FRA,1991,48,1638
FRA,1992,49,1635
FRA,1993,50,1627
FRA,1994,51,1623
FRA,1995,52,1601
FRA,1996,53,1597
FRA,1997,54,1596
FRA,1998,55,1585
FRA,1999,56,1578
FRA,2000,57,1558
FRA,2001,58,1538
FRA,2002,60,1504
FRA,2003,60,1507
FRA,2004,61,1531
FRA,2005,61,1532
FRA,2006,63,1515
FRA,2007,63,1537
FRA,2008,62,1543
FRA,2009,62,1531
FRA,2010,62,1540
FRA,2011,63,1546
FRA,2012,63,1541
FRA,2013,64,1526
FRA,2014,65,1518
FRA,2015,65,1519.484356
FRA,2016,65,1522.069358
FRA,2017,67,1507.60482
FRA,2018,67,1514.410327
FRA,2019,67,1518.157256
FRA,2020,68,1407.257635
DEU,1991,47,1554.1
DEU,1992,48,1565.1
DEU,1993,49,1540.2
DEU,1994,51,1536.6
DEU,1995,51,1530.6
DEU,1996,52,1516.8
DEU,1997,54,1507.7
DEU,1998,54,1504.5
DEU,1999,55,1491.5
DEU,2000,56,1465.9
DEU,2001,57,1458.2
DEU,2002,58,1448.9
DEU,2003,58,1443.4
DEU,2004,59,1442.6
DEU,2005,60,1432.4
DEU,2006,61,1453.2
DEU,2007,62,1454.1
DEU,2008,62,1447.3
DEU,2009,60,1405
DEU,2010,61,1425.7
DEU,2011,63,1426.9
DEU,2012,63,1408
DEU,2013,63,1396.5
DEU,2014,64,1400.4
DEU,2015,64,1401
DEU,2016,65,1395.6
DEU,2017,66,1389.1
DEU,2018,67,1384.7
DEU,2019,67,1381.5
DEU,2020,68,1324.2
GRC,1990,29,1975.50487
GRC,1991,30,2004.890979
GRC,1992,30,2031.433271
GRC,1993,29,2051.33999
GRC,1994,29,2018.162125
GRC,1995,30,2000.821404
GRC,1996,31,1999.58443
GRC,1997,33,1998.201593
GRC,1998,32,1998.667236
GRC,1999,33,1995.269737
GRC,2000,35,1997.914945
GRC,2001,36,1991.743576
GRC,2002,37,1984.241121
GRC,2003,38,1982.593768
GRC,2004,39,1974.131163
GRC,2005,38,2025.023795
GRC,2006,40,2014.691441
GRC,2007,41,2001.088734
GRC,2008,40,1996.604815
GRC,2009,39,1972.860526
GRC,2010,39,1931.079825
GRC,2011,36,1950.220694
GRC,2012,34,1989.931373
GRC,2013,34,1996.606484
GRC,2014,33,1949.334001
GRC,2015,35,1934.986808
GRC,2016,33,1942.726543
GRC,2017,34,1946.940954
GRC,2018,32,1961.081181
GRC,2019,33,1916.660051
GRC,2020,34,1730.737639
HUN,1991,17,2048
HUN,1992,18,2002
HUN,1993,19,2002
HUN,1994,19,2142
HUN,1995,22,1948
HUN,1996,22,1946
HUN,1997,22,1954.3
HUN,1998,23,1945.1
HUN,1999,23,1952.4
HUN,2000,24,1932.4
HUN,2001,26,1897.8
HUN,2002,27,1883.6
HUN,2003,28,1856.3
HUN,2004,30,1858.6
HUN,2005,32,1834.1
HUN,2006,33,1813.9
HUN,2007,34,1787.8
HUN,2008,35,1791.2
HUN,2009,34,1758.2
HUN,2010,34,1766.4
HUN,2011,35,1753.7
HUN,2012,35,1738.3
HUN,2013,35,1733.6
HUN,2014,34,1748.6
HUN,2015,35,1745.9
HUN,2016,34,1760.2
HUN,2017,35,1747.4
HUN,2018,37,1729.9
HUN,2019,38,1722.2
HUN,2020,38,1657.1
ITA,1995,50,1856.2
ITA,1996,50,1866.2
ITA,1997,51,1859.9
ITA,1998,51,1873.1
ITA,1999,51,1869.9
ITA,2000,53,1850.2
ITA,2001,53,1837.6
ITA,2002,53,1826.2
ITA,2003,52,1815.1
ITA,2004,53,1814.6
ITA,2005,53,1811.1
