State,fraud losses
California,400.91
Texas,203.05
Florida,199.36
New York,169.77
Illinois,93.32
Pennsylvania,74.74
Virginia,72.62
North Carolina,72.09
Georgia,71.84
New Jersey,71.10
Arizona,69.48
Washington,68.72
Ohio,58.03
Michigan,57.51
Maryland,55.07
Colorado,50.87
Massachusetts,40.94
Tennessee,40.62
Missouri,40.32
Minnesota,36.77
Nevada,36.54
South Carolina,35.23
Wisconsin,34.31
Oregon,32.08
Indiana,31.62
Alabama,25.92
New Mexico,24.43
Connecticut,24.27
Utah,23.93
Louisiana,21.54
Oklahoma,18.87
Iowa,17.15
Kentucky,15.81
Hawaii,15.60
Kansas,14.93
Arkansas,13.77
Nebraska,12.91
Mississippi,10.75
Idaho,10.03
District of Columbia,9.40
West Virginia,9.39
Delaware,9.13
New Hampshire,6.30
Maine,5.92
Alaska,5.69
Montana,5.63
South Dakota,4.21
Wyoming,4.09
Rhode Island,4.07
Vermont,3.64
North Dakota,3
