LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,GDP per cap,Flag Codes,TIME,Hours worked,LOCATION
AUS,HRWKD,TOT,HR_WKD,A,2017,1738.494254,,2017,100.852846,AUS
AUS,HRWKD,TOT,HR_WKD,A,2018,1732.538743,,2018,100.850163,AUS
AUS,HRWKD,TOT,HR_WKD,A,2019,1722.313342,,2019,102.055734,AUS
AUS,HRWKD,TOT,HR_WKD,A,2020,1683.111932,,2020,103.908855,AUS
AUS,HRWKD,TOT,HR_WKD,A,2021,1694.129053,,2021,105.099423,AUS
AUT,HRWKD,TOT,HR_WKD,A,2017,1498,,2017,101.087913,AUT
AUT,HRWKD,TOT,HR_WKD,A,2018,1502,,2018,101.548745,AUT
AUT,HRWKD,TOT,HR_WKD,A,2019,1508.643477,,2019,101.549358,AUT
AUT,HRWKD,TOT,HR_WKD,A,2020,1400.693582,,2020,104.017529,AUT
AUT,HRWKD,TOT,HR_WKD,A,2021,1442.453757,,2021,103.518707,AUT
BEL,HRWKD,TOT,HR_WKD,A,2017,1578,,2017,99.90136,BEL
BEL,HRWKD,TOT,HR_WKD,A,2018,1580,,2018,100.107505,BEL
BEL,HRWKD,TOT,HR_WKD,A,2019,1577,,2019,100.914212,BEL
BEL,HRWKD,TOT,HR_WKD,A,2020,1443,,2020,104.101807,BEL
BEL,HRWKD,TOT,HR_WKD,A,2021,1493.126386,,2021,102.796649,BEL
CAN,HRWKD,TOT,HR_WKD,A,2017,1695,,2017,101.958414,CAN
CAN,HRWKD,TOT,HR_WKD,A,2018,1708,,2018,101.996538,CAN
CAN,HRWKD,TOT,HR_WKD,A,2019,1690,,2019,102.848075,CAN
CAN,HRWKD,TOT,HR_WKD,A,2020,1644,,2020,110.772065,CAN
CAN,HRWKD,TOT,HR_WKD,A,2021,1684.9984,,2021,104.465477,CAN
CZE,HRWKD,TOT,HR_WKD,A,2017,1776.447703,,2017,103.061394,CZE
CZE,HRWKD,TOT,HR_WKD,A,2018,1784.666363,,2018,104.496517,CZE
CZE,HRWKD,TOT,HR_WKD,A,2019,1786.033445,,2019,107.318049,CZE
CZE,HRWKD,TOT,HR_WKD,A,2020,1703.596535,,2020,109.900343,CZE
CZE,HRWKD,TOT,HR_WKD,A,2021,1752.820633,,2021,110.403252,CZE
DNK,HRWKD,TOT,HR_WKD,A,2017,1404.204328,,2017,103.081941,DNK
DNK,HRWKD,TOT,HR_WKD,A,2018,1381.28889,,2018,105.350786,DNK
DNK,HRWKD,TOT,HR_WKD,A,2019,1371.498811,,2019,106.133113,DNK
DNK,HRWKD,TOT,HR_WKD,A,2020,1342.327019,,2020,107.227289,DNK
DNK,HRWKD,TOT,HR_WKD,A,2021,1363.430754,,2021,108.295185,DNK
FIN,HRWKD,TOT,HR_WKD,A,2017,1548.879611,,2017,104.93291,FIN
FIN,HRWKD,TOT,HR_WKD,A,2018,1546.373238,,2018,103.698089,FIN
FIN,HRWKD,TOT,HR_WKD,A,2019,1538.371186,,2019,103.612412,FIN
FIN,HRWKD,TOT,HR_WKD,A,2020,1528.789942,,2020,103.940966,FIN
FIN,HRWKD,TOT,HR_WKD,A,2021,1518.267369,,2021,104.298407,FIN
FRA,HRWKD,TOT,HR_WKD,A,2017,1507.60482,,2017,102.395091,FRA
FRA,HRWKD,TOT,HR_WKD,A,2018,1514.410327,,2018,102.814627,FRA
FRA,HRWKD,TOT,HR_WKD,A,2019,1518.157256,,2019,103.215736,FRA
FRA,HRWKD,TOT,HR_WKD,A,2020,1407.257635,,2020,103.736551,FRA
FRA,HRWKD,TOT,HR_WKD,A,2021,1490.331744,,2021,102.187438,FRA
DEU,HRWKD,TOT,HR_WKD,A,2017,1389.1,,2017,103.162111,DEU
DEU,HRWKD,TOT,HR_WKD,A,2018,1384.7,,2018,103.375684,DEU
DEU,HRWKD,TOT,HR_WKD,A,2019,1381.5,,2019,104.162791,DEU
DEU,HRWKD,TOT,HR_WKD,A,2020,1324.2,,2020,105.18509,DEU
DEU,HRWKD,TOT,HR_WKD,A,2021,1349.3,,2021,106.100411,DEU
GRC,HRWKD,TOT,HR_WKD,A,2017,1946.940954,,2017,97.192622,GRC
GRC,HRWKD,TOT,HR_WKD,A,2018,1961.081181,,2018,93.804184,GRC
GRC,HRWKD,TOT,HR_WKD,A,2019,1916.660051,,2019,95.695779,GRC
GRC,HRWKD,TOT,HR_WKD,A,2020,1730.737639,,2020,98.196198,GRC
GRC,HRWKD,TOT,HR_WKD,A,2021,1872.237051,,2021,95.833755,GRC
HUN,HRWKD,TOT,HR_WKD,A,2017,1747.4,,2017,100.725809,HUN
HUN,HRWKD,TOT,HR_WKD,A,2018,1729.9,,2018,104.807845,HUN
HUN,HRWKD,TOT,HR_WKD,A,2019,1722.2,,2019,109.175273,HUN
HUN,HRWKD,TOT,HR_WKD,A,2020,1657.1,,2020,109.52259,HUN
HUN,HRWKD,TOT,HR_WKD,A,2021,1697.1,,2021,113.992793,HUN
ISL,HRWKD,TOT,HR_WKD,A,2017,1507.076767,,2017,101.932426,ISL
ISL,HRWKD,TOT,HR_WKD,A,2018,1496.456071,,2018,104.538868,ISL
ISL,HRWKD,TOT,HR_WKD,A,2019,1480.148221,,2019,108.350518,ISL
ISL,HRWKD,TOT,HR_WKD,A,2020,1446.239627,,2020,108.447164,ISL
ISL,HRWKD,TOT,HR_WKD,A,2021,1433.409553,,2021,111.904578,ISL
IRL,HRWKD,TOT,HR_WKD,A,2017,1775,,2017,101.509398,IRL
IRL,HRWKD,TOT,HR_WKD,A,2018,1782,,2018,106.290046,IRL
IRL,HRWKD,TOT,HR_WKD,A,2019,1771,,2019,108.83146,IRL
IRL,HRWKD,TOT,HR_WKD,A,2020,1746,,2020,127.922796,IRL
IRL,HRWKD,TOT,HR_WKD,A,2021,1775,,2021,136.359543,IRL
ITA,HRWKD,TOT,HR_WKD,A,2017,1719.2,,2017,100.335718,ITA
ITA,HRWKD,TOT,HR_WKD,A,2018,1719.4,,2018,100.323292,ITA
ITA,HRWKD,TOT,HR_WKD,A,2019,1710.2,,2019,100.82174,ITA
ITA,HRWKD,TOT,HR_WKD,A,2020,1553.6,,2020,103.876571,ITA
ITA,HRWKD,TOT,HR_WKD,A,2021,1668.5,,2021,102.57374,ITA
JPN,HRWKD,TOT,HR_WKD,A,2017,1708.580315,,2017,101.057367,JPN
JPN,HRWKD,TOT,HR_WKD,A,2018,1680.167068,,2018,101.582134,JPN
JPN,HRWKD,TOT,HR_WKD,A,2019,1643.81852,,2019,102.659468,JPN
JPN,HRWKD,TOT,HR_WKD,A,2020,1597.981379,,2020,101.361752,JPN
JPN,HRWKD,TOT,HR_WKD,A,2021,1607,,2021,102.430048,JPN
KOR,HRWKD,TOT,HR_WKD,A,2017,2018,,2017,107.376218,KOR
KOR,HRWKD,TOT,HR_WKD,A,2018,1993,,2018,111.478289,KOR
KOR,HRWKD,TOT,HR_WKD,A,2019,1967,,2019,114.112628,KOR
KOR,HRWKD,TOT,HR_WKD,A,2020,1908,,2020,117.754902,KOR
KOR,HRWKD,TOT,HR_WKD,A,2021,1915,,2021,120.511819,KOR
LUX,HRWKD,TOT,HR_WKD,A,2017,1508,,2017,100.480067,LUX
LUX,HRWKD,TOT,HR_WKD,A,2018,1509,,2018,98.797902,LUX
LUX,HRWKD,TOT,HR_WKD,A,2019,1507,,2019,98.039568,LUX
LUX,HRWKD,TOT,HR_WKD,A,2020,1420,,2020,101.325215,LUX
