date, volume ,VOLUME/100000
"Nov 21, 2022"," 2,113,922,000 ",21139.22
"Oct 31, 2022"," 70,056,910,000 ",700569.10
"Sep 30, 2022"," 95,823,760,000 ",958237.60
"Aug 31, 2022"," 94,241,020,000 ",942410.20
"Jul 31, 2022"," 92,252,350,000 ",922523.50
"Jun 30, 2022"," 81,688,320,000 ",816883.20
"May 31, 2022"," 106,116,710,000 ",1061167.10
"Apr 30, 2022"," 108,860,390,000 ",1088603.90
"Mar 31, 2022"," 90,367,840,000 ",903678.40
"Mar 01, 2022"," 123,546,260,000 ",1235462.60
"Feb 01, 2022"," 92,667,710,000 ",926677.10
"Jan 01, 2022"," 95,562,890,000 ",955628.90
"Dec 01, 2021"," 92,750,180,000 ",927501.80
"Oct 31, 2021"," 88,268,840,000 ",882688.40
"Sep 30, 2021"," 80,253,600,000 ",802536.00
"Aug 31, 2021"," 85,528,860,000 ",855288.60
"Jul 31, 2021"," 80,500,760,000 ",805007.60
"Jun 30, 2021"," 84,255,620,000 ",842556.20
"May 31, 2021"," 102,544,180,000 ",1025441.80
"Apr 30, 2021"," 88,321,860,000 ",883218.60
"Mar 31, 2021"," 83,124,090,000 ",831240.90
"Mar 01, 2021"," 122,371,150,000 ",1223711.50
"Feb 01, 2021"," 99,082,320,000 ",990823.20
"Jan 01, 2021"," 106,117,800,000 ",1061178.00
"Dec 01, 2020"," 96,375,680,000 ",963756.80
"Oct 31, 2020"," 101,247,180,000 ",1012471.80
"Sep 30, 2020"," 89,938,980,000 ",899389.80
"Aug 31, 2020"," 92,310,780,000 ",923107.80
"Jul 31, 2020"," 82,466,520,000 ",824665.20
"Jun 30, 2020"," 96,928,130,000 ",969281.30
"May 31, 2020"," 131,458,880,000 ",1314588.80
"Apr 30, 2020"," 107,135,190,000 ",1071351.90
"Mar 31, 2020"," 123,608,160,000 ",1236081.60
"Mar 01, 2020"," 162,185,380,000 ",1621853.80
"Feb 01, 2020"," 84,436,590,000 ",844365.90
"Jan 01, 2020"," 77,287,980,000 ",772879.80
"Dec 01, 2019"," 72,325,540,000 ",723255.40
"Oct 31, 2019"," 72,410,620,000 ",724106.20
"Sep 30, 2019"," 77,720,640,000 ",777206.40
"Aug 31, 2019"," 74,178,980,000 ",741789.80
"Jul 31, 2019"," 80,269,220,000 ",802692.20
"Jun 30, 2019"," 70,599,470,000 ",705994.70
"May 31, 2019"," 71,250,630,000 ",712506.30
"Apr 30, 2019"," 77,250,740,000 ",772507.40
"Mar 31, 2019"," 70,090,370,000 ",700903.70
"Mar 01, 2019"," 79,159,660,000 ",791596.60
"Feb 01, 2019"," 70,638,770,000 ",706387.70
"Jan 01, 2019"," 80,859,870,000 ",808598.70
"Dec 01, 2018"," 84,162,180,000 ",841621.80
"Oct 31, 2018"," 80,620,020,000 ",806200.20
"Sep 30, 2018"," 91,930,980,000 ",919309.80
"Aug 31, 2018"," 63,031,510,000 ",630315.10
"Jul 31, 2018"," 69,523,070,000 ",695230.70
"Jun 30, 2018"," 64,898,300,000 ",648983.00
"May 31, 2018"," 77,891,360,000 ",778913.60
"Apr 30, 2018"," 76,011,820,000 ",760118.20
"Mar 31, 2018"," 70,194,700,000 ",701947.00
"Mar 01, 2018"," 76,803,890,000 ",768038.90
"Feb 01, 2018"," 79,933,970,000 ",799339.70
"Jan 01, 2018"," 77,318,690,000 ",773186.90
"Dec 01, 2017"," 65,531,700,000 ",655317.00
"Oct 31, 2017"," 73,416,960,000 ",734169.60
"Sep 30, 2017"," 71,088,550,000 ",710885.50
"Aug 31, 2017"," 66,624,120,000 ",666241.20
"Jul 31, 2017"," 70,784,900,000 ",707849.00
"Jun 30, 2017"," 63,348,090,000 ",633480.90
"May 31, 2017"," 81,078,810,000 ",810788.10
"Apr 30, 2017"," 79,719,460,000 ",797194.60
"Mar 31, 2017"," 65,369,860,000 ",653698.60
"Mar 01, 2017"," 81,664,010,000 ",816640.10
"Feb 01, 2017"," 69,260,940,000 ",692609.40
"Jan 01, 2017"," 70,576,420,000 ",705764.20
"Dec 01, 2016"," 75,344,550,000 ",753445.50
"Oct 31, 2016"," 88,445,380,000 ",884453.80
"Sep 30, 2016"," 72,915,530,000 ",729155.30
"Aug 31, 2016"," 77,023,620,000 ",770236.20
"Jul 31, 2016"," 75,610,310,000 ",756103.10
"Jun 30, 2016"," 69,530,250,000 ",695302.50
"May 31, 2016"," 86,852,700,000 ",868527.00
"Apr 30, 2016"," 78,883,600,000 ",788836.00
"Mar 31, 2016"," 81,124,990,000 ",811249.90
"Mar 01, 2016"," 92,639,420,000 ",926394.20
"Feb 01, 2016"," 93,049,560,000 ",930495.60
"Jan 01, 2016"," 92,409,770,000 ",924097.70
"Dec 01, 2015"," 83,649,260,000 ",836492.60
