,location,time ,value
0,CAN,2007-01,4.121818
1,CAN,2007-02,4.1175
2,CAN,2007-03,4.045909
3,CAN,2007-04,4.1715
4,CAN,2007-05,4.292727
5,CAN,2007-06,4.612857
6,CAN,2007-07,4.59
7,CAN,2007-08,4.428637
8,CAN,2007-09,4.356316
9,CAN,2007-10,4.362727
10,CAN,2007-11,4.121428
11,CAN,2007-12,4.01579
12,CAN,2008-01,3.848182
13,CAN,2008-02,3.828
14,CAN,2008-03,3.509
15,CAN,2008-04,3.628636
16,CAN,2008-05,3.621428
17,CAN,2008-06,3.76
18,CAN,2008-07,3.750454
19,CAN,2008-08,3.5915
20,CAN,2008-09,3.540952
21,CAN,2008-10,3.668182
22,CAN,2008-11,3.571579
23,CAN,2008-12,2.945714
24,CAN,2009-01,2.812381
25,CAN,2009-02,2.960526
26,CAN,2009-03,2.885909
27,CAN,2009-04,2.954286
28,CAN,2009-05,3.202
29,CAN,2009-06,3.459091
30,CAN,2009-07,3.429091
31,CAN,2009-08,3.4645
32,CAN,2009-09,3.365714
33,CAN,2009-10,3.425238
34,CAN,2009-11,3.3925
35,CAN,2009-12,3.41619
36,CAN,2010-01,3.485
37,CAN,2010-02,3.423684
38,CAN,2010-03,3.490435
39,CAN,2010-04,3.67
40,CAN,2010-05,3.4455
41,CAN,2010-06,3.297727
42,CAN,2010-07,3.185238
43,CAN,2010-08,2.949524
44,CAN,2010-09,2.881428
45,CAN,2010-10,2.766
46,CAN,2010-11,3.022381
47,CAN,2010-12,3.204762
48,CAN,2011-01,3.253
49,CAN,2011-02,3.417368
50,CAN,2011-03,3.266522
51,CAN,2011-04,3.328
52,CAN,2011-05,3.151905
53,CAN,2011-06,2.987727
54,CAN,2011-07,2.9385
55,CAN,2011-08,2.446364
56,CAN,2011-09,2.196667
57,CAN,2011-10,2.296
58,CAN,2011-11,2.122381
59,CAN,2011-12,1.992
60,CAN,2012-01,1.98
61,CAN,2012-02,2.021
62,CAN,2012-03,2.106818
63,CAN,2012-04,2.0645
64,CAN,2012-05,1.922273
65,CAN,2012-06,1.747619
66,CAN,2012-07,1.656191
67,CAN,2012-08,1.826818
68,CAN,2012-09,1.837895
69,CAN,2012-10,1.811818
70,CAN,2012-11,1.738095
71,CAN,2012-12,1.767895
72,CAN,2013-01,1.931364
73,CAN,2013-02,1.967895
74,CAN,2013-03,1.8515
75,CAN,2013-04,1.748636
76,CAN,2013-05,1.901818
77,CAN,2013-06,2.2445
78,CAN,2013-07,2.438182
79,CAN,2013-08,2.611428
80,CAN,2013-09,2.698
81,CAN,2013-10,2.518182
82,CAN,2013-11,2.5585
83,CAN,2013-12,2.6735
84,CAN,2014-01,2.534091
85,CAN,2014-02,2.42
86,CAN,2014-03,2.454286
87,CAN,2014-04,2.444762
88,CAN,2014-05,2.315238
89,CAN,2014-06,2.298571
90,CAN,2014-07,2.194546
91,CAN,2014-08,2.062
92,CAN,2014-09,2.180952
93,CAN,2014-10,2.010455
94,CAN,2014-11,2.003158
95,CAN,2014-12,1.851905
96,CAN,2015-01,1.525714
97,CAN,2015-02,1.379474
98,CAN,2015-03,1.421364
99,CAN,2015-04,1.410952
100,CAN,2015-05,1.744
101,CAN,2015-06,1.78
102,CAN,2015-07,1.569546
103,CAN,2015-08,1.3915
104,CAN,2015-09,1.481429
105,CAN,2015-10,1.463333
106,CAN,2015-11,1.6335
107,CAN,2015-12,1.459524
108,CAN,2016-01,1.258
109,CAN,2016-02,1.1245
110,CAN,2016-03,1.268182
111,CAN,2016-04,1.33619
112,CAN,2016-05,1.35
113,CAN,2016-06,1.168182
114,CAN,2016-07,1.051
115,CAN,2016-08,1.042727
116,CAN,2016-09,1.08619
117,CAN,2016-10,1.1665
118,CAN,2016-11,1.437619
119,CAN,2016-12,1.732
120,CAN,2017-01,1.722381
121,CAN,2017-02,1.702105
122,CAN,2017-03,1.714348
123,CAN,2017-04,1.523158
124,CAN,2017-05,1.513182
125,CAN,2017-06,1.502727
126,CAN,2017-07,1.908
127,CAN,2017-08,1.883636
128,CAN,2017-09,2.0495
129,CAN,2017-10,2.050952
130,CAN,2017-11,1.918571
131,CAN,2017-12,1.915263
132,CAN,2018-01,2.198182
133,CAN,2018-02,2.324211
134,CAN,2018-03,2.188571
135,CAN,2018-04,2.249048
136,CAN,2018-05,2.375454
137,CAN,2018-06,2.209048
138,CAN,2018-07,2.187143
139,CAN,2018-08,2.295455
140,CAN,2018-09,2.353684
141,CAN,2018-10,2.488636
142,CAN,2018-11,2.407619
143,CAN,2018-12,2.057895
144,CAN,2019-01,1.953636
145,CAN,2019-02,1.907368
146,CAN,2019-03,1.712381
147,CAN,2019-04,1.724286
148,CAN,2019-05,1.664545
149,CAN,2019-06,1.4625
150,CAN,2019-07,1.519091
151,CAN,2019-08,1.205238
152,CAN,2019-09,1.364
153,CAN,2019-10,1.449546
154,CAN,2019-11,1.4995
155,CAN,2019-12,1.6045
156,CAN,2020-01,1.492273
157,CAN,2020-02,1.294737
158,CAN,2020-03,0.8190909
159,CAN,2020-04,0.6571429
160,CAN,2020-05,0.551
161,CAN,2020-06,0.5613636
162,CAN,2020-07,0.5163636
163,CAN,2020-08,0.5635
164,CAN,2020-09,0.5595238
165,CAN,2020-10,0.6028572
166,CAN,2020-11,0.6885
167,CAN,2020-12,0.7309524
168,CAN,2021-01,0.8055
169,CAN,2021-02,1.099474
170,CAN,2021-03,1.496522
171,CAN,2021-04,1.516191
172,CAN,2021-05,1.524
173,CAN,2021-06,1.425
174,CAN,2021-07,1.251429
175,CAN,2021-08,1.191905
176,CAN,2021-09,1.263
177,CAN,2021-10,1.597
178,CAN,2021-11,1.685714
179,CAN,2021-12,1.45
180,CAN,2022-01,1.759
181,CAN,2022-02,1.879474
182,CAN,2022-03,2.132174
183,CAN,2022-04,2.704
184,CAN,2022-05,2.918571
185,CAN,2022-06,3.315454
186,CAN,2022-07,3.0215
187,CAN,2022-08,2.859091
188,CAN,2022-09,3.144737
189,FRA,2007-01,4.0694
190,FRA,2007-02,4.096
191,FRA,2007-03,3.9968
192,FRA,2007-04,4.2079
193,FRA,2007-05,4.3368
194,FRA,2007-06,4.619
195,FRA,2007-07,4.5829
196,FRA,2007-08,4.3889
197,FRA,2007-09,4.3567
198,FRA,2007-10,4.4022
199,FRA,2007-11,4.2277
200,FRA,2007-12,4.3541
201,FRA,2008-01,4.15
202,FRA,2008-02,4.0792
203,FRA,2008-03,4.0194
204,FRA,2008-04,4.2699
205,FRA,2008-05,4.4059
206,FRA,2008-06,4.7337
207,FRA,2008-07,4.6903
208,FRA,2008-08,4.4018
209,FRA,2008-09,4.3619
210,FRA,2008-10,4.1836
211,FRA,2008-11,3.9767
212,FRA,2008-12,3.5395
213,FRA,2009-01,3.6016
214,FRA,2009-02,3.6781
215,FRA,2009-03,3.6474
216,FRA,2009-04,3.6591
